ROTAS;DISTANCIA;FALHAS;ACIDENTES;VELOCIDADE
R1;1590;200;40;80
R2;1310;30;10;120
R3;1410;20;30;80
R4;2690;130;10;120
R5;1820;270;40;80
R6;2250;120;50;100
R7;2640;200;20;120
R8;1480;110;40;100
R9;2450;180;20;120
R10;2030;10;40;80
R11;2220;290;30;80
R12;2030;300;40;80
R13;2960;100;30;120
R14;1680;300;30;120
R15;2010;220;30;100
R16;2780;150;20;100
R17;1820;100;50;100
R18;2650;100;10;100
R19;2420;120;50;80
R20;1280;140;50;80
R21;1410;100;30;120
R22;1670;280;50;100
R23;2190;190;40;100
R24;2990;180;20;80
R25;1140;80;10;80
R26;1700;300;20;120
R27;1810;200;10;80
R28;2930;180;50;100
R29;2540;70;40;100
R30;2020;30;50;120
R31;1410;60;20;80
R32;1270;210;10;100
R33;1920;300;40;100
R34;1640;20;30;100
R35;2710;70;40;80
R36;2530;50;30;80
R37;2460;30;10;80
R38;2330;290;30;80
R39;1720;100;10;100
R40;2480;180;10;80
R41;2890;110;10;80
R42;1410;90;50;80
R43;2080;180;50;120
R44;1020;300;10;120
R45;2060;110;50;100
R46;1090;250;20;120
R47;2710;300;50;100
R48;1670;110;50;100
R49;2880;130;10;120
R50;2060;230;50;100
R51;1790;40;10;120
R52;2320;200;30;100
R53;1330;10;30;100
R54;2360;260;10;120
R55;1550;280;10;120
R56;1100;300;40;100
R57;1900;150;30;120
R58;1680;50;20;120
R59;1920;190;10;100
R60;2010;30;50;120
R61;1840;0;10;120
R62;1370;200;40;80
R63;1660;50;20;100
R64;2710;220;10;120
R65;2040;240;10;80
R66;1920;50;40;100
R67;2230;220;50;120
R68;2880;300;40;100
R69;1370;290;20;80
R70;1450;240;50;80
R71;1730;180;40;100
R72;2450;50;50;100
R73;1040;280;10;80
R74;2330;120;40;120
R75;1710;120;50;80
R76;1550;120;50;80
R77;1730;240;20;120
R78;1770;140;30;100
R79;2730;170;10;100
R80;2500;30;50;120
R81;1430;300;10;100
R82;2920;230;20;120
R83;2880;190;10;80
R84;2130;70;50;100
R85;1840;100;10;80
R86;2920;60;30;80
R87;1600;270;10;120
R88;2020;230;20;100
R89;3000;0;10;80
R90;2700;80;20;120
R91;2330;150;20;80
R92;1680;70;40;100
R93;2010;120;30;120
R94;1930;190;40;80
R95;1040;50;10;120
R96;2650;190;30;100
